industry_code,avg_hrly_earnings,total_employment,women_employment,naics_supersector,naics_code,naics_sector_rollup,women_percentage,source
80812310,14.04,35.5,22.7,80,812310,81,0.6394366197183098,ces
80812320,12.59,133.6,92.9,80,812320,81,0.6953592814371258,ces
80812330,17.13,130.5,59.1,80,812330,81,0.45287356321839084,ces
80812331,,67.0,,80,812331,81,,ces
80812332,,63.3,,80,812332,81,,ces
80812900,16.37,325.5,170.3,80,812900,81,0.5231950844854071,ces
80812910,15.41,107.5,83.1,80,812910,81,0.7730232558139535,ces
80812930,14.38,142.1,25.5,80,812930,81,0.17945109078114005,ces
80812990,,76.2,,80,812990,81,,ces
80813000,26.82,2961.5,1777.5,80,813000,81,0.6002026000337667,ces
80813200,38.37,184.7,127.9,80,813200,81,0.6924742826204657,ces
80813211,43.32,108.5,70.3,80,813211,81,0.6479262672811059,ces
80813212,34.07,39.6,29.5,80,813212,81,0.7449494949494949,ces
80813219,28.06,37.0,27.8,80,813219,81,0.7513513513513513,ces
80813300,26.25,218.4,155.8,80,813300,81,0.7133699633699634,ces
80813311,24.76,46.0,34.2,80,813311,81,0.7434782608695653,ces
80813319,26.68,171.7,120.8,80,813319,81,0.7035527082119977,ces
80813400,18.78,392.3,260.0,80,813400,81,0.6627580932959469,ces
80813900,34.22,480.1,248.0,80,813900,81,0.5165590501978754,ces
80813910,38.0,119.0,77.6,80,813910,81,0.6521008403361344,ces
80813920,42.29,84.7,59.6,80,813920,81,0.7036599763872491,ces
80813930,39.75,114.6,47.5,80,813930,81,0.41448516579406636,ces
80813990,22.47,164.4,63.3,80,813990,81,0.3850364963503649,ces
90000000,,22316.0,12800.0,90,000000,00,0.5735794945330704,ces
90910000,,2811.0,1243.0,90,910000,91,0.44219139096406973,ces
90911000,,2196.1,966.8,90,911000,91,0.440234961978052,ces
90916220,,340.2,205.0,90,916220,91,0.6025867136978248,ces
90919110,,530.1,162.8,90,919110,91,0.3071118656857197,ces
90919120,,614.5,275.8,90,919120,91,0.4488201790073231,ces
90919999,,1325.9,598.9,90,919999,91,0.45169318953163884,ces
90920000,,5101.0,2741.0,90,920000,92,0.5373456185061752,ces
90921611,,2422.8,1339.4,90,921611,92,0.5528314347036487,ces
90922000,,2678.5,1398.1,90,922000,92,0.521971252566735,ces
90922622,,369.6,255.9,90,922622,92,0.6923701298701298,ces
90922920,,1802.8,861.8,90,922920,92,0.478034169070335,ces
90922999,,507.2,279.2,90,922999,92,0.5504731861198738,ces
90930000,,14404.0,8816.0,90,930000,93,0.6120522077200777,ces
90931611,,7967.6,5825.0,90,931611,93,0.7310858978864401,ces
90932000,,6436.0,2994.3,90,932000,93,0.46524238657551276,ces
90932221,,244.6,58.9,90,932221,93,0.24080130825838103,ces
90932480,,284.4,88.4,90,932480,93,0.31082981715893115,ces
90932622,,666.3,533.1,90,932622,93,0.80009004952724,ces
90932920,,4116.8,1687.1,90,932920,93,0.4098085891954916,ces
90932999,,1115.7,625.4,90,932999,93,0.5605449493591467,ces
